identifier	altId	text	transType	isPunc	isPrimary
40001017008	David-1	David	k	False	True
40001017009	{-1	{		True	False
40001017010	are-1	are		False	False
40001017011	}-1	}		True	False
40001017012	fourteen-1	fourteen	k	False	True
40001017013	generations-2	generations	k	False	True
40001017014	,-1	,		True	False
40001017015	and-1	and	k	False	True
40001017016	from-2	from	k	False	True
40001017017	David-2	David	k	False	True
40001017018	to-2	to	k	False	True
40001017019	the-2	the	k	False	True
40001017020	deportation-1	deportation	k	False	True
40001017021	to-2	to	m	False	False
40001017022	Babylon-1	Babylon	k	False	True
40001017023	{-2	{		True	False
40001017024	are-2	are		False	False
40001017025	}-2	}		True	False
40001017026	fourteen-2	fourteen	k	False	True
40001017027	generations-2	generations	k	False	True
40001017028	,-2	,		True	False
40001017029	and-2	and	k	False	True
40001017030	from-2	from	k	False	True
40001017031	the-2	the	k	False	True
40001017032	deportation-2	deportation	k	False	True
40001017033	to-2	to	m	False	False
40001017034	Babylon-2	Babylon	k	False	True
40001017035	to-2	to	k	False	True
40001017036	the-2	the	k	False	True
40001017037	Christ-1	Christ	k	False	True
40001017038	{-2	{		True	False
40001017039	are-2	are		False	False
40001017040	}-2	}		True	False
40001017041	fourteen-2	fourteen	k	False	True
40001017042	generations-2	generations	k	False	True
40001017043	.-1	.		True	False
40001018001	Now-1	Now	k	False	True
40001018002	the-1	the	k	False	True
40001018003	birth-1	birth	k	False	True
40001018004	of-1	of	m	False	False
40001018005	Jesus-1	Jesus	k	False	True
40001018006	Christ-1	Christ	k	False	True
40001018007	occurred-1	occurred	k	False	True
40001018008	in-1	in	k	False	False
40001018009	this-1	this	k	False	True
40001018010	way-1	way	k	False	False
40001018011	.-1	.		True	False
40001018012	His-1	His	k	False	True
40001018013	mother-1	mother	k	False	True
40001018014	Mary-1	Mary	k	False	True
40001018015	had-1	had	m	False	False
40001018016	been-1	been	m	False	False
40001018017	betrothed-1	betrothed	k	False	True
40001018018	to-1	to	m	False	False
40001018019	Joseph-1	Joseph	k	False	True
40001018020	,-1	,		True	False
40001018021	{-1	{		True	False
40001018022	but-1	but	k	False	False
40001018023	}-1	}		True	False
40001018024	before-1	before	k	False	True
40001018025	they-1	they	k	False	True
40001018026	came-1	came	k	False	True
40001018027	together-1	together	k	False	False
40001018028	,-2	,		True	False
40001018029	she-1	she	m	False	False
40001018030	was-1	was	m	False	False
40001018031	found-1	found	k	False	True
40001018032	[-1	[		True	False
40001018033	to-2	to	m	False	False
40001018034	be-1	be	m	False	False
40001018035	pregnant-1	pregnant	k	False	True
40001018036	]-1	]		True	False
40001018037	by-1	by	k	False	True
40001018038	the-2	the		False	False
40001018039	Holy-1	Holy	k	False	True
40001018040	Spirit-1	Spirit	k	False	True
40001018041	.-2	.		True	False
40001019001	So-1	So	k	False	True
40001019002	Joseph-1	Joseph	k	False	True
40001019003	her-1	her	k	False	True
40001019004	husband-1	husband	k	False	True
40001019005	,-1	,		True	False
40001019006	being-1	being	k	False	True
40001019007	righteous-1	righteous	k	False	True
40001019008	and-1	and	k	False	True
40001019009	not-1	not	k	False	True
40001019010	wanting-1	wanting	k	False	True
40001019011	to-1	to	m	False	False
